date,price_ars_tn,source,price_kind,product
2025-01-03,215000,CAC BCR,Precio Pizarra y Estimativo,Trigo
2025-01-10,218500,CAC BCR,Precio Pizarra y Estimativo,Trigo
2025-01-17,220000,CAC BCR,Precio Pizarra y Estimativo,Trigo
2025-01-24,221500,CAC BCR,Precio Pizarra y Estimativo,Trigo
2025-01-31,223000,CAC BCR,Precio Pizarra y Estimativo,Trigo
2025-02-07,224200,CAC BCR,Precio Pizarra y Estimativo,Trigo
2025-02-14,226800,CAC BCR,Precio Pizarra y Estimativo,Trigo
2025-02-21,225600,CAC BCR,Precio Pizarra y Estimativo,Trigo
2025-02-28,227900,CAC BCR,Precio Pizarra y Estimativo,Trigo
2025-03-07,229500,CAC BCR,Precio Pizarra y Estimativo,Trigo
